date,cases,hosp,icu,deaths
16/03/20,271,84,6,2
17/03/20,350,108,7,2
18/03/20,438,140,12,3
19/03/20,584,173,13,3
20/03/20,712,211,17,4
21/03/20,836,239,25,6
22/03/20,965,277,36,6
23/03/20,1146,305,39,7
24/03/20,1383,340,47,9
25/03/20,1639,419,59,21
26/03/20,1904,489,67,33
27/03/20,2216,564,77,43
28/03/20,2475,645,84,44
29/03/20,2677,703,113,64
30/03/20,2990,834,126,84
31/03/20,3283,932,134,91
01/04/20,3655,1039,148,113
02/04/20,4014,1118,158,131
03/04/20,4443,1203,165,151
04/04/20,4916,1265,169,167
